source,available,hashes_verified,images,selected,role,label_quality,permitted_use,exclusion,coordinate_status,alias_group,calibration_exposure,verification_scope
synthetic_static,True,True,True,True,center_image_pretraining,generated_dense_centers,"archived author CC0 declaration, topic 732103",,verified native/pooled grids,synthetic_static,44b6,
synthetic_sequences,True,True,True,True,dense_image_edge_event_pretraining,generated_dense_graph,"archived author CC0 declaration, topic 732103",,verified native/pooled grids,synthetic_sequences,44b6,
zoo_zebrafish,True,True,False,True,primary_weak_geometry,experimental_tracking_output_weak_not_manual_dense_truth,archived organizer permission specifically covers public Zebrahub tracks; topic 734330; same originating authors/site,,unitless per-axis normalization; no physical/cadence claim,zoo_zebrafish_acquisition,not Biohub-calibrated,
zoo_drosophila,True,True,False,False,excluded,experimental_tracking_output_weak_not_manual_dense_truth,unresolved source terms; not trained,originating data-use terms not established in bounded audit,unitless per-axis normalization; no physical/cadence claim,zoo_drosophila_acquisition,not Biohub-calibrated,
zoo_mouse,True,True,False,False,excluded,experimental_tracking_output_weak_not_manual_dense_truth,unresolved source terms; not trained,originating data-use terms not established in bounded audit,unitless per-axis normalization; no physical/cadence claim,zoo_mouse_acquisition,not Biohub-calibrated,
zoo_ascidian,True,True,False,True,optional_multispecies_weak_geometry,experimental_tracking_output_weak_not_manual_dense_truth,originating Figshare article 8223890 CC BY 4.0; exact prepared graph/source CSV conversion audit; Guignard et al. Science 2020,,unitless per-axis normalization; no physical/cadence claim,zoo_ascidian_acquisition,not Biohub-calibrated,
zoo_elegans,True,True,False,False,excluded,experimental_tracking_output_weak_not_manual_dense_truth,unresolved source terms; not trained,originating data-use terms not established in bounded audit,unitless per-axis normalization; no physical/cadence claim,zoo_elegans_acquisition,not Biohub-calibrated,
zoo_tribolium,True,True,False,False,excluded,experimental_tracking_output_weak_not_manual_dense_truth,unresolved source terms; not trained,originating data-use terms not established in bounded audit,unitless per-axis normalization; no physical/cadence claim,zoo_tribolium_acquisition,not Biohub-calibrated,
riken_animal_a,True,True,False,False,excluded,measurements_no_established_links,unresolved source terms; not trained,unresolved use and temporal labels,unitless per-axis normalization; no physical/cadence claim,riken_animal_a,not Biohub-calibrated,
riken_animal_b,True,True,False,False,excluded,measurements_no_established_links,unresolved source terms; not trained,unresolved use and temporal labels,unitless per-axis normalization; no physical/cadence claim,riken_animal_b,not Biohub-calibrated,
riken_animal_c,True,True,False,False,excluded,measurements_no_established_links,unresolved source terms; not trained,unresolved use and temporal labels,unitless per-axis normalization; no physical/cadence claim,riken_animal_c,not Biohub-calibrated,
riken_dorsal,True,True,False,False,excluded,measurements_no_established_links,unresolved source terms; not trained,unresolved use and temporal labels,unitless per-axis normalization; no physical/cadence claim,riken_dorsal,not Biohub-calibrated,
riken_in_toto_mzoep,True,True,False,False,excluded,measurements_no_established_links,unresolved source terms; not trained,unresolved use and temporal labels,unitless per-axis normalization; no physical/cadence claim,riken_in_toto_mzoep,not Biohub-calibrated,
riken_in_toto_wt,True,True,False,False,excluded,measurements_no_established_links,unresolved source terms; not trained,unresolved use and temporal labels,unitless per-axis normalization; no physical/cadence claim,riken_in_toto_wt,not Biohub-calibrated,
riken_ventral,True,True,False,False,excluded,measurements_no_established_links,unresolved source terms; not trained,unresolved use and temporal labels,unitless per-axis normalization; no physical/cadence claim,riken_ventral,not Biohub-calibrated,
biohub_44b6,True,False,True,True,source_only_sparse_supervision,experimental_sparse_GEFF,competition training data,,all native Zarr grids/dtypes/physical scales verified,biohub_44b6,public incumbent and historical E teacher exposure persists,fresh image metadata and cached GT/graph hashes; full sealed image chunk hashing not repeated
biohub_6bba,True,False,True,True,source_only_sparse_supervision,experimental_sparse_GEFF,competition training data,,all native Zarr grids/dtypes/physical scales verified,biohub_6bba,public incumbent and historical E teacher exposure persists,fresh image metadata and cached GT/graph hashes; full sealed image chunk hashing not repeated
rendered_zoo_44b6,True,True,True,True,explicit rendered Zoo-fish optical pretraining/replay,weak Zoo trajectories; rendered images,derived from eligible organizer-cleared Zoo-fish,,,zoo_zebrafish,44b6 source-only image statistics; shared Zoo acquisition,
rendered_zoo_6bba,True,True,True,True,explicit rendered Zoo-fish optical pretraining/replay,weak Zoo trajectories; rendered images,derived from eligible organizer-cleared Zoo-fish,,,zoo_zebrafish,6bba source-only image statistics; shared Zoo acquisition,
